Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
Flora1	C4:7C:8D:64:76:67	2019-10-30 10:20:01	Flower care	21.5	42	1066	373	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 10:20:01	Flower care	21.8	42	1147	1005	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 10:30:01	Flower care	21.4	42	1295	373	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 10:30:01	Flower care	21.7	42	1354	1007	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 10:40:01	Flower care	21.7	42	1691	371	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 10:40:01	Flower care	20.1	42	1541	1039	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 10:50:01	Flower care	22.4	42	1666	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 10:50:01	Flower care	20.9	43	1300	1047	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 11:00:01	Flower care	22.0	42	13	376	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 11:00:01	Flower care	21.5	44	99	1041	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 11:10:01	Flower care	20.4	42	35	386	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 11:10:01	Flower care	20.1	44	35	1066	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 11:20:01	Flower care	21.0	42	8	383	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 11:20:01	Flower care	21.0	44	56	1050	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 11:30:01	Flower care	21.5	42	30	378	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 11:30:01	Flower care	21.3	44	113	1040	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 11:40:01	Flower care	21.9	42	52	376	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 11:40:01	Flower care	21.7	45	52	1042	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 11:50:02	Flower care	22.0	42	90	376	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 11:50:02	Flower care	21.7	45	56	1042	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 12:00:01	Flower care	21.0	42	16	381	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 12:00:01	Flower care	20.8	45	42	1062	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 12:10:02	Flower care	21.4	42	32	379	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 12:10:02	Flower care	21.3	45	52	1049	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 12:20:01	Flower care	21.6	42	56	378	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 12:20:01	Flower care	21.6	45	56	1053	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 12:30:01	Flower care	21.8	42	30	376	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 12:30:01	Flower care	21.6	45	95	1053	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 12:40:01	Flower care	22.0	42	52	375	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 12:40:01	Flower care	21.8	45	37	1049	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 12:50:01	Flower care	20.7	42	74	384	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 12:50:01	Flower care	20.6	45	55	1071	100
